10
A B C D E F G H I J 
0 3.36055 3.14057 3.60126 5.11096 5.17583 2.98183 4.5641 3.28936 2.84184
3.36055 0 1.10667 6.14873 8.40727 8.08314 5.81483 6.41839 4.37754 3.93431
3.14057 1.10667 0 5.34919 7.91883 8.20693 5.94144 6.90752 4.98193 4.50094
3.60126 6.14873 5.34919 0 3.39666 6.52796 5.17099 7.37469 6.70951 6.32346
5.11096 8.40727 7.91883 3.39666 0 4.5786 4.529 6.68584 7.04223 6.85689
5.17583 8.08314 8.20693 6.52796 4.5786 0 2.27416 2.93715 4.49426 4.65424
2.98183 5.81483 5.94144 5.17099 4.529 2.27416 0 2.27688 2.69008 2.67371
4.5641 6.41839 6.90752 7.37469 6.68584 2.93715 2.27688 0 2.09985 2.49168
3.28936 4.37754 4.98193 6.70951 7.04223 4.49426 2.69008 2.09985 0 0.497743
2.84184 3.93431 4.50094 6.32346 6.85689 4.65424 2.67371 2.49168 0.497743 0
