10
A B C D E F G H I J 
0 3360.55 3140.57 3601.26 5110.96 5175.83 2981.83 4564.1 3289.36 2841.84
3360.55 0 1106.67 6148.73 8407.27 8083.14 5814.83 6418.39 4377.54 3934.31
3140.57 1106.67 0 5349.19 7918.83 8206.93 5941.44 6907.52 4981.93 4500.94
3601.26 6148.73 5349.19 0 3396.66 6527.96 5170.99 7374.69 6709.51 6323.46
5110.96 8407.27 7918.83 3396.66 0 4578.6 4529 6685.84 7042.23 6856.89
5175.83 8083.14 8206.93 6527.96 4578.6 0 2274.16 2937.15 4494.26 4654.24
2981.83 5814.83 5941.44 5170.99 4529 2274.16 0 2276.88 2690.08 2673.71
4564.1 6418.39 6907.52 7374.69 6685.84 2937.15 2276.88 0 2099.85 2491.68
3289.36 4377.54 4981.93 6709.51 7042.23 4494.26 2690.08 2099.85 0 497.743
2841.84 3934.31 4500.94 6323.46 6856.89 4654.24 2673.71 2491.68 497.743 0
